id,otázka,popis,Michal Gill,🟡 Markéta Gregorová,David František Wagner,Věra Mikušová,Viktor Velek,Petr Slanina,🟡 Mikuláš Ferjenčík,Vladimír Votápek,🟡 Marcel Kolaja,🟡 Albert Štěrba,Jana Skopalíková,Andrea Hoffmannová,Jiří Knotek,Zuzana Klusová,Eva Tichá,Ondřej Melena,Viktor Tichák,Matej Petrík,Jan Břížďala,Jan Hora,Tomáš Guth Jarkovský,Olga Sejrková,Martin Štěrba,Jakub Rychlý,Josef Bouše,Adam Piechowicz,Miloslava Karfilátová,Filip Jiroušek,Tomáš Polák,Šárka Rousová,Marek Lahoda,Milada Slouková,Marek Habruň,František Kopřiva,Tomáš Adamec,Jana Holomčík Leitnerová,Marta Martinová,Tereza Nislerová,Pavel Podgorný,Vítězslav Adamec,Veronika Hažlinská,Zuzana Kudláčková,Martin Rota,Filip Křistek,František Doseděl
12,Podporuješ zákaz prodeje aut se spalovacími motory po roce 2035?,"Omezení prodeje nových aut od roku 2035 znamená možnost prodeje pouze bezemisních automobilů (tj. jezdících na elektřinu, vodík či synteticky vyráběné palivo). Vzhledem k životnosti a druhotnému trhu se nepředpokládá reálný konec používání osobních automobilů se spalovacím motorem před rokem 2050, přesto daná problematika budí značné vášně odpůrců i příznivců. Kritici upozorňují, že bezemisní automobily nebudou dostupné pro všechny domácnosti, podporovatelé tvrdí, že to naopak nastaví trend pro vývoj a ceny bezemisních vozidel se nejpozději v roce 2030 vyrovnají cenám vozů se spalovacím motorem.",Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ne
13,Může zemní plyn do roku 2050 zůstat podporován podobně jako obnovitelné zdroje energie?,"Evropský parlament přijal nařízení o taxonomii, která klasifikovala těžený zemní plyn jako přechodný zdroj, který je zařazen mezi podporované zdroje. Zemní plyn je nicméně významný zdroj CO2, které ovlivňuje klima a ohrožuje cíle přijaté Pařížskou dohodou. Zároveň jsou členské státy alespoň částečně závislé na dodávkách z Ruska, což má dopad na geopolitickou bezpečnost. Na druhou stranu nyní existuje málo dostupných alternativ pro jeho náhradu, které by vypouštěly méně CO2 než zemní plyn, a obnovitelné zdroje dnes nejsou schopné vytvářet dostatečnou produkci elektřiny v průběhu celého roku, takže je nutné jejich výrobu něčím doplňovat.",Ano,Ne,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ano,Ne,Ano,Ano,Ne,Ano,Nevím / Jiná odpověď,Ne,Ano,Ne,Ne,Ano,Ne,Ano,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ano,Ano,Ne,Ne,Ano,Ano,Nevím / Jiná odpověď,Ne
14,Má jaderná energie zůstat podporována jako trvale udržitelný zdroj energie?,"Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici upozorňují, že jaderná energie není finančně konkurenceschopná a představuje bezpečnostní riziko. Udržitelnost zdroje je míněna za výstavby trvalého úložiště jaderného odpadu a podporou je myšleno zařazení do taxonomie EU jako trvale udržitelného zdroje.",Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano
15,"Mělo by se snížit množství finančních prostředků, které jde na podporu ekonomicky slabším regionům EU?","Zhruba třetina rozpočtu EU jde na regionální, tzv. kohezní politiky. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celá ČR mimo Prahu.",Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ne
16,"Jste pro, aby Česká republika přijala euro nejpozději do roku 2030?","Každý stát – kromě těch, které si vyjednaly trvalou výjimku (Dánsko) – se vstupem do Evropské unie zavázal přijmout v budoucnu euro. Podmínkou je splnění takzvaných maastrichtských kritérií. V roce 2022 je Česko neplnilo, Ministerstvo financí ČR a Česká národní banka vydaly společné doporučení nestanovovat žádné konkrétní datum připojení se ke skupině zemí platících eurem, takzvané eurozóny, již poněkolikáté za sebou, ačkoli dříve podmínky plněny byly a ke změně hodnocení se samy nechystají.",Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano
17,"Měla by EU omezit přístup k dotacím, aby na ně nedosáhly velké a ziskové společnosti?","Velikost evropského podnikatelského sektoru zaostává za USA, mluví se pro to o budování evropských šampionů, stejně tak jsou zmiňované rovné podmínky pro všechny podnikatele. Kritici namítají, že podmínky je výrazně snazší překonat pro velké firmy a že dynamiku hospodářského růstu ve skutečnosti přináší inovace vzešlé z malých a středních firem, jež jsou skutečným motorem ekonomiky.",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano
18,"Má mít EU pravomoc zavést nějakou celounijní daň, která by byla příjmem evropského rozpočtu?","Tato daň by se stala součástí rozpočtu EU a snížila by platby států. V současné době většina příjmů EU pochází z příspěvků jednotlivých zemí na základě výše jejich hrubého národního produktu. Zavedením evropské daně by se zvýšila nezávislost rozpočtu EU na členských zemích. V dnešní době již existují cla na dovoz ze třetích zemí, kdy příjemcem jejich výběru je EU. Standardní daň formou spotřební, majetkové či příjmové daně by však bylo rozdílem proti stávající praxi, kdy by každý obyvatel EU odváděl daň přímo do společné kasy.",Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ano,Ne,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ano,Ne,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ne,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne,Ne,Ano
19,Má se EU rozšířit do roku 2035 o Ukrajinu?,"Dne 23. června 2022 udělila Evropská rada Ukrajině status kandidátské země. Udělení statutu kandidátské země je nicméně jen začátek dlouhé cesty, během níž musí země splnit rozsáhlé množství reforem a změn. EU také nemá zkušenost se vstupem země, jež by byla ve válečném stavu, na druhou stranu se nepředpokládá, že by konflikt s Ruskem trval celou dekádu a naopak panuje obava, aby Ukrajina nezůstala trvale v ""předpokoji"" čekatelů na členství, protože i členství samo o sobě může pomoci významně zlepšit její bezpečnostní status. Někteří politici také mluví o morální zodpovědnosti vůči napadené zemi, která nepřímo bojuje i za naši svobodu.",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano
20,Měla by se EU ekonomicky i politicky snažit o podporu stability států v Severní Africe a na Blízkém východě?,"EU je největší světový poskytovatel rozvojové pomoci. Podle zastánců rozvojová pomoc pomáhá v cílových zemích a zabraňuje tak mj. populační explozi a snižuje emigraci do bohatších zemí (např. zemí EU). Podle odpůrců je podstatná část pomoci rozkradena vládními vrstvami a zločineckými strukturami a nedostane se tak k těm, kterým je určena.",Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano
21,Měl by se odebrat Turecku status kandidátské země do EU?,Turecko požádalo o členství v EU již v roce 1987 a od roku 1999 má status kandidáta. Získávalo tak příspěvky z tzv. předvstupního fondu. Brusel Turecko kritizuje za hromadné zatýkání a porušování lidských práv po neúspěšném pokusu o puč v roce 2016. Stejně tak volby v roce 2023 vykázaly znaky nerovného politického boje. V souvislosti se snahou Švédska vstoupit do NATO se objevila snaha Turecka obnovit přístupové rozhovory.,Ano,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ne,Ano,Ano,Ne,Nevím / Jiná odpověď,Ne,Ano,Nevím / Jiná odpověď,Ano,Ano,Ne,Ano,Ne,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Nevím / Jiná odpověď,Ne,Nevím / Jiná odpověď,Ano,Ano,Ne,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ne,Ne
22,Měl by být posílen evropský dohled nad mechanismem pro screening zahraničních investic?,"Od dubna 2019 musí členské státy oznamovat Evropské komisi, jakým způsobem prověřují tzv. přímé zahraniční investice (např. když firma ze zahraničí koupí českou společnost a následně rozhoduje o jejím dalším rozvoji). Komise k těmto investicím vydává hodnocení, konečné rozhodnutí o jejich povolení či zákazu ale zůstává v pravomoci členské země. V souvislosti se zhoršující bezpečnostní situací a vzhledem k dopadu na vnitřní trh zůstává otázkou, zda by nebylo nutné zavést povinný mechanismus na evropské úrovni, který by se rozšířil i na nestrategická odvětví, která jediná jsou předmětem posuzování dnes. Kritici opatření ale zmiňují dopady ve formě zhoršení investičního prostředí a oslabení přílivu zahraničních investic.  Zdroj",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano
23,Měla by se EU zcela (alespoň střednědobě) vzdát ekonomických vazeb s Ruskem?,"Po ruské invazi na Ukrajinu a přijetí sankčních balíčků se obchodní výměna s Ruskem snížila o více než 50%. Panují debaty, zda není nutné postupně omezit obchod úplně - s výjimkou nezbytně nutných surovin jako vzácných kovů a surovin, jež není možné rozumně získat odjinud.",Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano
24,Měla by být zkrácena doba ochrany autorských děl evropskou legislativou?,"Autorská díla jako knihy nebo filmy jsou v EU chráněny po dobu 70 let od úmrtí autora, hudba po dobu 50 let. Obhájci argumentují, že bez takové ochrany by některá díla ani nevznikla. Kritici upozorňují, že takto dlouhá ochrana omezuje tvorbu odvozených děl a že tato ochrana původně fungovala jen jako ochrana autora před vydavatelem, nikoliv pro nekomerční využití.",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano
25,Mělo by být užívání měkkých drog pro osobní potřebu celoevropsky povoleno?,"Některé země regulovaly užívání, držení a nakládání s omamným konopím, psychedeliky nebo jinými drogami s nízkým závislostním potenciálem s odůvodněním, že je efektivnější podílet se na snižování rizik (harm reduction) a potlačování kriminality spojené s nelegálním trhem, než podporovat drahou a neúčinnou prohibici.   Měkkými drogami jsou myšleny drogy s nízkou společenskou škodlivostí.",Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano
26,"Může být osobní soukromí na internetu omezeno z důvodu bezpečí veřejnosti, ochrany dětí nebo boje proti terorismu?","Příkladem toho, jak lze omezit soukromí na internetu může být například jednání Evropského parlamentu o tom, zda jsou důvodnou výjimkou z práva na soukromí potírání dětské pornografie, boj proti terorismu apod. a zda to v důsledku vytvoří povinnost internetových platforem filtrovat jejich obsah kvůli vyhledávání těchto zločinů a společensky nebezpečných jevů. Omezením ochrany soukromí není myšleno soudní nařízení v individuálním případě.",Ne,Ne,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ne,Ano,Ne,Ne,Ne,Ano,Ne,Ne,Ano,Ano,Nevím / Jiná odpověď,Ne,Ne,Ne,Ne,Ano,Ano,Ne,Ne,Ne,Ne,Ano,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ne,Ne
27,Měla by EU garantovat digitální integritu všech svých občanů?,"Digitální integrita bývá charakterizována jako osobní údaje, jež jsou konstitutivními prvky lidské osoby, která na ně proto má nezcizitelná práva. Zavedení práva na digitální integritu do základních práv umožňuje domáhat se práva na informační sebeurčení na ústavní úrovni.",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano
28,Podporuješ genderové kvóty za účelem rovného zastoupení mužů a žen?,"Některé státy přijaly podmínky na povinné zastoupení mužů a žen na kandidátních listinách nebo v řídících orgánech firem. Na úrovni EU byla schválena směrnice o ženách ve správních radách, která stanovuje, že alespoň 40% nevýkonných ředitelů větších firem by mělo být z obou pohlaví.",Ne,Nevím / Jiná odpověď,Ne,Ano,Ano,Ne,Ne,Ano,Ne,Ano,Nevím / Jiná odpověď,Ano,Ne,Ne,Nevím / Jiná odpověď,Ano,Ne,Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ano,Ne,Ne,Nevím / Jiná odpověď,Ne,Ano,Nevím / Jiná odpověď,Ne,Ne,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne
29,Měl by sociální systém evropských zemí zůstat solidární i za cenu vyšších daní?,"EU má v sociálních otázkách omezené kompetence, nejvíce jen mezi koordinačními politikami. Každý europoslanec ale zároveň může i neformálně otevírat palčivá témata, ať už se týkají jeho země nebo celé Evropy.",Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ne,Ano,Ano,Ne,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano
